Customer_ID,Nama,Usia,Pekerjaan,Penghasilan_Bulanan_Juta,Kemampuan_Teknologi,Kebutuhan_Bisnis,Beli_Windows,Tanggal_Registrasi
CUST10039,Labuh Marpaung,45,Arsitek,30.47,0.09,0.51,0,2025-09-07
CUST10040,Kayla Manullang,63,Programmer,9.62,0.43,0.07,0,2025-10-30
CUST10041,Carla Nainggolan,26,Wiraswasta,6.04,0.39,0.93,1,2025-03-19
CUST10042,"Drs. Tirtayasa Tamba, S.H.",26,Dokter,22.19,0.83,0.88,1,2025-02-21
CUST10043,Kartika Marpaung,38,Freelancer,2.9,0.31,0.36,0,2025-04-19
CUST10044,Yunita Wijayanti,33,Koki,4.68,0.68,0.97,1,2024-11-28
CUST10045,"Tgk. Puti Hartati, M.Kom.",36,Manager,13.95,0.55,0.82,1,2025-02-27
CUST10046,Ratih Wahyudin,49,PNS,6.97,0.55,0.24,0,2025-01-06
CUST10047,"Luwar Sitorus, S.Psi",39,Driver Online,2.28,0.51,0.9,0,2025-04-16
CUST10048,Drs. Karimah Wijaya,53,YouTuber,16.07,0.33,0.25,0,2025-03-23
CUST10049,"Hana Tarihoran, S.T.",52,Content Creator,7.71,0.53,0.59,0,2025-02-01
CUST10050,Balidin Saptono,37,Marketing,17.03,0.26,0.05,0,2025-07-05
CUST10051,Laksana Uwais,31,Perawat,5.01,0.19,0.98,0,2025-03-16
CUST10052,Tgk. Ida Prayoga,21,Dosen,29.94,0.36,0.08,1,2025-11-02
CUST10053,T. Wasis Safitri,27,Wiraswasta,2.38,0.02,0.24,0,2025-07-23
CUST10054,Puji Prayoga,39,Akuntan,14.04,0.25,0.74,0,2025-10-26
CUST10055,Clara Anggraini,52,Arsitek,18.47,0.77,0.5,0,2025-04-13
CUST10056,Carla Damanik,28,Wiraswasta,3.87,0.73,0.63,1,2025-09-29
CUST10057,"Ana Narpati, S.IP",60,Blogger,16.85,0.06,0.97,0,2025-03-09
CUST10058,"Cut Nova Susanti, S.Psi",61,Manager,17.98,0.75,0.59,1,2025-11-22
CUST10059,"Elma Hasanah, S.I.Kom",18,Hotel Staff,6.72,0.93,0.18,1,2025-07-16
CUST10060,"R. Zahra Handayani, S.Gz",25,Hotel Staff,9.73,0.53,0.08,0,2025-03-03
CUST10061,"Sakura Palastri, S.Pd",41,Konsultan,6.29,0.26,0.31,0,2025-10-25
CUST10062,Koko Rahayu,26,Perawat,9.48,0.43,0.66,1,2025-03-31
CUST10063,Vanya Dongoran,42,Perawat,8.25,0.41,0.79,1,2025-07-03
CUST10064,Prabowo Nugroho,27,YouTuber,5.56,0.69,0.43,1,2024-12-06
CUST10065,Septi Hastuti,51,Perawat,6.21,0.52,0.49,0,2025-08-11
CUST10066,"drg. Ivan Hasanah, S.H.",63,Pengusaha,12.4,0.92,0.0,0,2025-08-15
CUST10067,"R. Bahuwarna Saragih, S.H.",45,Mahasiswa,4.19,0.82,0.52,0,2025-09-06
CUST10068,"R. Danu Yulianti, S.T.",22,Karyawan Swasta,6.57,0.21,0.34,0,2025-10-16
CUST10069,"Saadat Nashiruddin, S.Pd",47,Mahasiswa,2.65,0.57,0.11,0,2025-09-17
CUST10070,Rini Nababan,64,Hotel Staff,8.41,0.68,0.03,0,2025-02-16
CUST10071,"Dimaz Suryatmi, M.Ak",21,Konsultan,13.76,0.95,0.51,1,2025-02-15
CUST10072,Dadi Widodo,42,Designer,15.21,0.57,0.36,0,2024-12-08
CUST10073,Puti Gawati Maryadi,42,Freelancer,1.08,0.02,0.19,0,2024-12-02
CUST10074,Zahra Anggraini,23,Peneliti,2.6,0.29,0.92,0,2025-05-15
CUST10075,Talia Mahendra,48,Guru,4.93,0.95,0.32,0,2025-10-13
CUST10076,Cawisadi Nasyidah,38,Dokter,25.49,0.92,0.04,1,2024-12-25
CUST10077,"Yani Mandasari, S.H.",45,Peneliti,6.32,0.11,0.59,0,2025-04-02
CUST10078,Teddy Hutasoit,45,Engineer,15.0,0.25,0.67,1,2025-04-03
CUST10079,Calista Mandala,26,Guru,5.16,0.07,0.81,0,2025-04-27
CUST10080,"Dt. Nasrullah Jailani, S.Psi",64,Arsitek,20.16,0.52,0.54,1,2025-03-04
CUST10081,Karna Pratama,25,Koki,7.09,0.73,0.32,0,2025-01-29
CUST10082,Daniswara Ramadan,43,Peneliti,4.85,0.67,0.68,1,2025-11-14
CUST10083,"dr. Jessica Susanti, S.Ked",36,Arsitek,34.75,0.16,0.58,1,2025-11-17
CUST10084,Uchita Napitupulu,43,Engineer,19.61,0.61,0.33,1,2025-09-21
CUST10085,Garan Prasetya,23,Designer,5.47,0.53,0.84,1,2024-12-23
CUST10086,Indah Purwanti,44,Dokter,10.11,0.88,0.12,0,2025-08-15
CUST10087,Puspa Hidayat,20,Content Creator,13.35,0.4,0.34,1,2025-04-18
CUST10088,Ilsa Maulana,20,Konsultan,5.72,0.68,0.44,0,2025-01-01
CUST10089,Kiandra Melani,28,Engineer,13.82,0.28,0.98,1,2025-01-29
CUST10090,Dr. Oni Tampubolon,25,Dosen,30.85,0.43,0.67,1,2025-06-16
CUST10091,"Dt. Laswi Maulana, S.Ked",55,Akuntan,6.54,0.87,0.78,0,2025-01-24
CUST10092,Lamar Maryadi,45,Pengusaha,23.95,0.29,0.39,1,2025-08-16
CUST10093,Elvin Nuraini,25,Konsultan,8.5,0.11,0.23,0,2024-12-07
CUST10094,"drg. Hana Farida, S.Sos",42,Blogger,7.19,0.05,0.66,0,2025-01-11
CUST10095,drg. Pangeran Safitri,41,Konsultan,19.89,0.31,0.91,0,2025-11-10
CUST10096,KH. Tirtayasa Hassanah,23,Programmer,16.2,0.49,0.5,1,2024-12-03
CUST10097,Elvina Zulkarnain,38,Sales,5.47,0.45,0.93,1,2025-09-02
CUST10098,Ir. Jane Waskita,46,Wiraswasta,2.39,0.25,0.57,0,2025-10-22
CUST10099,"Adikara Prasetya, M.M.",54,YouTuber,6.39,0.18,0.12,0,2025-06-29
CUST10100,"Drs. Keisha Suryono, M.Kom.",51,Konsultan,5.34,0.26,0.18,0,2025-04-11
CUST10101,"Syahrini Nababan, S.I.Kom",38,Peneliti,2.23,0.59,0.82,0,2024-12-16
CUST10102,Jindra Sihombing,61,Content Creator,7.56,0.73,0.27,0,2025-10-16
CUST10103,dr. Jaga Ardianto,43,Pensiunan,7.71,0.59,0.0,0,2025-09-08
CUST10104,Nadia Oktaviani,53,Freelancer,1.8,0.98,0.91,1,2025-10-31
CUST10105,"Aswani Sinaga, S.T.",24,Koki,4.01,0.54,0.34,0,2024-11-27
CUST10106,"drg. Azalea Wacana, S.Pd",52,Designer,12.01,0.14,0.22,0,2024-12-15
CUST10107,Sarah Aryani,26,Guru,6.6,1.0,0.12,0,2025-05-30
CUST10108,Salman Melani,63,Pengusaha,31.06,0.52,0.81,1,2024-12-29
CUST10109,Putu Novitasari,41,Perawat,5.34,0.82,0.79,1,2025-10-09
CUST10110,Siska Wahyudin,46,YouTuber,6.69,0.56,0.57,0,2025-07-29
CUST10111,Mahesa Wahyuni,65,Perawat,7.73,0.82,0.35,0,2025-10-28
CUST10112,"dr. Bakti Permadi, S.Psi",59,Hotel Staff,6.05,0.77,0.36,0,2025-06-23
CUST10113,Oni Maryati,57,Peneliti,3.06,0.71,0.39,0,2025-02-21
CUST10114,"Tgk. Viman Suryono, S.Pd",64,Driver Online,3.04,0.37,0.05,0,2024-12-25
CUST10115,Hardi Pradana,57,Mahasiswa,3.92,0.12,0.28,0,2025-10-31
CUST10116,Vanya Budiyanto,44,Programmer,9.05,0.33,0.68,0,2025-04-18
CUST10117,Ikin Wacana,41,Sales,3.34,0.95,0.62,1,2025-11-14
CUST10118,Rini Adriansyah,49,Engineer,13.77,0.3,0.7,1,2025-04-15
CUST10119,Prabowo Santoso,59,YouTuber,24.79,0.37,0.84,1,2025-10-24
CUST10120,Violet Thamrin,32,Karyawan Swasta,3.21,0.28,0.54,0,2025-11-20
CUST10121,Unjani Zulkarnain,53,Wiraswasta,2.23,0.31,0.6,0,2025-10-15
CUST10122,Adinata Anggraini,25,Pensiunan,2.34,0.45,0.02,0,2025-08-12
CUST10123,Vivi Mahendra,37,Engineer,8.31,0.56,0.44,1,2025-04-03
CUST10124,"dr. Emin Firgantoro, S.Ked",18,Designer,15.28,0.9,0.34,1,2025-08-27
CUST10125,Zulfa Najmudin,45,Pensiunan,4.29,0.98,0.37,0,2025-09-13
CUST10126,Okto Putra,27,Dokter,28.47,0.99,0.86,1,2025-04-04
CUST10127,Empluk Prasetya,19,PNS,7.48,0.34,0.28,0,2025-01-02
CUST10128,Sadina Mandala,30,Content Creator,5.34,0.88,0.91,1,2025-01-18
CUST10129,Putri Nuraini,52,Hotel Staff,4.1,0.13,0.6,0,2025-05-01
CUST10130,Emong Wacana,64,Wiraswasta,5.91,0.98,0.99,0,2025-06-18
CUST10131,Puspa Tamba,24,Mahasiswa,5.0,0.93,0.68,1,2024-12-21
CUST10132,drg. Uli Hutapea,44,Freelancer,4.8,0.07,0.45,0,2025-09-23
CUST10133,R. Puput Zulkarnain,26,Hotel Staff,4.51,0.73,0.36,0,2024-12-15
CUST10134,Karen Habibi,26,Koki,5.47,0.99,0.7,0,2025-10-22
CUST10135,Tania Dongoran,27,Wiraswasta,4.12,0.24,0.83,1,2025-09-18
CUST10136,Zulfa Natsir,49,Arsitek,22.01,0.42,0.11,0,2025-08-12
CUST10137,Danang Siregar,34,YouTuber,12.2,0.77,0.21,1,2025-07-21
CUST10138,Zulfa Wacana,30,Dosen,21.21,0.67,0.61,1,2025-02-22
CUST10139,Amelia Maryadi,24,Dosen,15.84,0.01,0.95,1,2025-07-24
CUST10140,Lukita Yuliarti,40,Pengusaha,28.26,0.99,0.15,1,2025-09-23
CUST10141,"Shakila Utama, S.E.I",31,Dosen,14.34,0.45,0.75,1,2025-06-14
CUST10142,Cawisono Usada,37,Driver Online,3.65,0.89,0.95,1,2025-08-01
CUST10143,"Wawan Laksita, S.Psi",59,Content Creator,16.7,0.22,0.29,0,2025-07-08
CUST10144,Laila Namaga,57,Perawat,5.34,0.54,0.15,0,2025-03-07
CUST10145,Rahayu Prastuti,18,Akuntan,12.32,0.63,0.19,1,2025-01-24
CUST10146,"Cagak Melani, S.Gz",41,Arsitek,24.33,0.96,0.13,1,2025-10-17
CUST10147,Ratih Handayani,38,Engineer,14.55,0.58,0.18,1,2025-11-04
CUST10148,Ifa Agustina,32,Mahasiswa,3.27,0.57,0.89,1,2025-01-25
CUST10149,"Ridwan Ramadan, S.Ked",48,Freelancer,4.75,0.44,0.16,0,2025-07-23
CUST10150,Lukman Najmudin,24,Akuntan,7.0,0.74,0.69,1,2025-05-05
CUST10151,Sari Maulana,43,Mahasiswa,4.12,0.81,0.76,0,2025-03-16
CUST10152,"Hamzah Habibi, S.Ked",49,Pengusaha,22.5,0.63,0.9,1,2025-08-04
CUST10153,Ciaobella Mandala,38,Freelancer,2.3,0.1,0.62,0,2025-07-17
CUST10154,"Tgk. Nurul Mansur, S.Gz",35,Hotel Staff,8.0,0.75,0.35,1,2025-10-05
CUST10155,"Dt. Edison Waskita, S.Kom",26,YouTuber,19.54,0.04,0.3,0,2025-10-29
CUST10156,"Hj. Vanya Setiawan, S.Gz",51,Hotel Staff,9.15,0.04,0.92,0,2025-05-31
CUST10157,"Winda Tamba, M.TI.",25,Konsultan,9.75,0.24,0.03,0,2025-07-21
CUST10158,Wawan Wibowo,35,Wiraswasta,5.25,0.25,0.7,0,2025-10-08
CUST10159,Baktianto Handayani,57,Konsultan,19.34,0.94,0.79,0,2025-01-16
CUST10160,R.A. Ulva Lestari,56,Pengusaha,34.44,0.54,0.52,1,2024-11-29
CUST10161,Paiman Haryanti,39,Engineer,13.88,0.8,0.98,1,2025-06-04
CUST10162,Ulva Pratama,51,Peneliti,4.98,0.67,0.91,0,2024-12-19
CUST10163,dr. Puspa Pertiwi,64,Konsultan,15.39,0.82,0.36,0,2025-06-24
CUST10164,"H. Jindra Uyainah, S.E.",51,Pensiunan,7.67,0.23,0.3,0,2025-11-18
CUST10165,"Elon Yolanda, M.TI.",35,Koki,6.08,0.1,0.38,0,2025-06-21
CUST10166,Ika Adriansyah,42,Content Creator,18.09,0.26,0.24,0,2025-03-09
CUST10167,Salsabila Waluyo,19,Blogger,2.64,0.74,0.74,1,2025-11-10
CUST10168,Hasan Megantara,40,Koki,5.37,0.05,0.72,0,2024-11-27
CUST10169,"R.M. Himawan Nugroho, S.Sos",19,Akuntan,5.4,0.05,0.68,0,2025-08-15
CUST10170,Bahuwarna Farida,53,Manager,33.22,0.95,0.43,1,2025-11-10
CUST10171,Puti Ifa Manullang,44,Karyawan Swasta,5.99,0.41,0.92,0,2025-10-12
CUST10172,"Galar Utami, M.TI.",37,Programmer,14.5,0.99,0.08,1,2024-12-11
CUST10173,"Ella Waluyo, S.Pt",65,Konsultan,11.01,0.11,0.05,0,2024-11-27
CUST10174,Karma Tampubolon,48,YouTuber,9.59,0.96,0.17,1,2025-10-25
CUST10175,"Sutan Rosman Suwarno, S.I.Kom",24,Marketing,5.11,0.91,0.42,1,2025-02-09
CUST10176,Natalia Suartini,62,Peneliti,6.76,0.12,0.42,0,2025-07-24
CUST10177,Kasusra Mansur,31,Hotel Staff,3.06,0.14,0.33,0,2025-05-15
CUST10178,Kamaria Halimah,63,Dosen,12.65,0.53,0.55,1,2025-05-28
CUST10179,Farhunnisa Yulianti,49,Content Creator,7.16,0.13,0.44,0,2025-03-16
CUST10180,Adikara Sitompul,43,Peneliti,2.0,0.37,0.78,0,2025-06-04
CUST10181,Aditya Rajasa,50,Perawat,8.42,0.03,0.74,0,2024-12-16
CUST10182,"Dr. Ami Marpaung, S.Pt",37,Content Creator,4.92,0.04,0.85,0,2024-12-05
CUST10183,Omar Saefullah,29,Perawat,8.08,0.26,0.15,0,2024-12-09
CUST10184,Tgk. Oliva Sihombing,46,Freelancer,3.43,0.98,0.88,1,2025-07-16
CUST10185,Mustika Mulyani,49,Content Creator,24.54,0.0,0.37,1,2025-10-16
CUST10186,Novi Najmudin,46,Perawat,6.85,0.3,0.62,0,2025-01-26
CUST10187,"dr. Bakijan Winarno, S.T.",37,Peneliti,6.76,0.39,0.28,0,2025-11-19
CUST10188,Cawuk Kuswandari,54,Sales,9.58,0.88,0.83,1,2025-06-16
CUST10189,"drg. Rusman Samosir, M.Kom.",41,Wiraswasta,5.45,0.19,0.04,0,2025-01-03
CUST10190,"Sutan Akarsana Utami, M.Ak",44,Pengusaha,28.28,0.5,0.02,1,2025-05-29
CUST10191,"R. Harto Halim, S.E.",51,Koki,2.74,0.55,0.85,0,2025-07-31
CUST10192,"Devi Palastri, M.Kom.",31,Driver Online,2.58,0.84,0.68,0,2025-10-01
CUST10193,Lala Saptono,40,Koki,6.56,0.97,0.71,1,2025-05-22
CUST10194,"Ika Hidayat, S.Kom",32,Hotel Staff,7.17,0.69,0.4,1,2025-07-10
CUST10195,Okto Suartini,53,YouTuber,23.36,0.79,0.77,1,2025-08-21
CUST10196,"Kayla Tampubolon, S.E.",25,Dosen,24.72,0.15,0.94,1,2025-10-03
CUST10197,Chandra Nugroho,39,Pensiunan,5.1,0.67,0.01,0,2025-11-21
CUST10198,Nyoman Usamah,33,Karyawan Swasta,6.85,0.5,0.5,0,2025-11-10
CUST10199,"Ir. Rina Prakasa, S.T.",58,Karyawan Swasta,9.55,0.6,0.03,0,2024-11-24
CUST10200,Ganda Kuswoyo,45,Perawat,9.7,0.88,0.58,1,2025-06-07
CUST10201,"T. Umaya Puspita, S.Sos",40,Pengusaha,22.06,0.61,0.93,1,2025-02-19
CUST10202,Laras Yulianti,30,Guru,6.33,0.95,0.56,1,2025-01-27
CUST10203,"Dariati Samosir, S.H.",58,Arsitek,19.04,0.74,0.0,0,2024-12-20
CUST10204,Yunita Habibi,33,Wiraswasta,2.73,0.93,0.41,1,2025-10-26
CUST10205,Elisa Maheswara,25,Perawat,3.18,0.83,0.05,0,2025-07-26
CUST10206,Tami Handayani,51,Freelancer,4.59,0.14,0.7,0,2025-07-13
CUST10207,Puti Hesti Situmorang,41,Driver Online,3.21,0.27,0.97,0,2025-10-14
CUST10208,Drs. Almira Agustina,19,Karyawan Swasta,7.69,0.71,0.68,1,2025-04-15
CUST10209,"T. Bagiya Nababan, S.Sos",55,Pengusaha,30.8,0.45,0.74,1,2025-04-02
CUST10210,"Oskar Kusumo, S.IP",64,Freelancer,2.86,0.37,0.73,0,2025-08-16
CUST10211,Jessica Prastuti,37,Sales,6.7,0.77,0.74,1,2025-10-13
CUST10212,drg. Hamima Aryani,57,Akuntan,7.81,0.5,0.58,0,2025-10-17
CUST10213,"Enteng Suryatmi, S.I.Kom",24,Engineer,8.64,0.66,0.5,1,2025-07-10
CUST10214,Harjaya Ardianto,51,Perawat,7.63,0.85,0.13,0,2025-08-25
CUST10215,R. Salimah Uwais,24,Akuntan,5.09,0.55,0.99,1,2025-05-10
CUST10216,Rahayu Riyanti,21,Dosen,18.0,0.57,0.7,1,2025-07-29
CUST10217,Tgk. Rahayu Sirait,52,PNS,3.2,0.86,0.88,0,2025-03-16
CUST10218,Puti Humaira Prastuti,25,Hotel Staff,9.19,0.61,0.94,1,2025-03-28
CUST10219,"Prasetya Saputra, S.Psi",21,Programmer,5.87,0.18,0.37,0,2025-05-15
CUST10220,Tugiman Iswahyudi,50,Designer,16.99,0.73,0.54,1,2025-03-29
CUST10221,Cawisono Irawan,53,Engineer,11.03,0.71,0.0,0,2025-03-17
CUST10222,"T. Umaya Prayoga, M.Ak",58,Dokter,14.09,0.01,0.4,0,2025-10-03
CUST10223,Malika Yulianti,32,Engineer,7.93,0.17,0.54,0,2025-06-14
CUST10224,"Bahuwarna Namaga, S.E.I",38,Arsitek,26.11,0.27,0.19,0,2024-12-02
CUST10225,"R.A. Zalindra Suryono, S.Farm",55,PNS,4.39,0.3,0.76,0,2025-05-16
CUST10226,Pardi Rahayu,60,Akuntan,16.98,0.1,0.34,0,2025-08-10
CUST10227,"Makara Wacana, M.Kom.",55,Dokter,32.52,0.6,0.25,0,2024-12-01
CUST10228,"R.A. Ayu Mulyani, S.Sos",56,Arsitek,15.14,0.9,0.02,0,2025-08-31
CUST10229,"drg. Abyasa Wacana, M.Pd",61,Peneliti,3.29,0.61,0.76,0,2025-09-04
CUST10230,Langgeng Wulandari,42,Karyawan Swasta,7.11,0.09,0.87,0,2025-05-23
CUST10231,Oni Puspasari,20,Sales,9.79,0.21,0.2,0,2025-02-05
CUST10232,Jamil Novitasari,61,Perawat,5.91,0.38,0.45,0,2025-11-13
CUST10233,"Rama Kuswoyo, S.Gz",55,Content Creator,15.91,0.84,0.63,1,2025-08-31
CUST10234,"R. Tiara Nugroho, S.Gz",42,Pengusaha,33.13,0.4,0.92,1,2025-05-08
CUST10235,Tari Widodo,44,Freelancer,3.98,0.55,0.78,0,2025-01-24
CUST10236,Bella Laksita,22,Pengusaha,18.91,0.95,0.31,1,2025-02-22
CUST10237,Umi Zulaika,57,Pensiunan,4.53,0.95,0.06,0,2025-05-12
CUST10238,drg. Cemani Uwais,32,Karyawan Swasta,9.67,0.77,0.74,1,2025-02-16
CUST10239,"Elisa Yulianti, S.Ked",20,Perawat,6.62,0.16,0.63,1,2025-02-05
CUST10240,Siti Usada,65,Driver Online,4.46,0.19,0.92,0,2025-10-26
CUST10241,Karma Mahendra,40,Arsitek,23.12,0.84,0.59,1,2025-02-02
CUST10242,Lasmono Halim,37,Engineer,5.93,0.28,0.83,1,2025-07-31
CUST10243,Drs. Maras Adriansyah,37,PNS,5.52,0.98,0.62,0,2025-09-12
CUST10244,Zulfa Nainggolan,52,Driver Online,1.91,0.08,0.8,0,2025-01-03
CUST10245,"Cayadi Widodo, M.TI.",54,YouTuber,3.07,0.59,0.12,0,2024-12-12
CUST10246,"Hari Saefullah, S.Pd",18,Designer,14.23,0.37,0.47,1,2025-06-12
CUST10247,Amalia Saefullah,31,Driver Online,1.52,0.88,0.1,0,2025-04-22
CUST10248,KH. Lega Mayasari,35,Guru,6.75,0.75,0.47,1,2024-12-05
CUST10249,Maya Saefullah,47,Mahasiswa,2.43,0.48,0.06,0,2024-12-13
CUST10250,Calista Mayasari,59,Mahasiswa,1.7,0.46,0.35,0,2025-06-13
CUST10251,"Tgk. Empluk Pratama, M.TI.",57,Peneliti,2.92,0.67,0.29,0,2025-09-22
CUST10252,Unjani Widiastuti,60,Konsultan,16.92,0.4,0.76,1,2025-06-30
CUST10253,"R. Salwa Jailani, S.E.I",41,Peneliti,7.36,0.56,0.88,0,2025-02-17
CUST10254,Alika Tampubolon,56,Akuntan,5.9,0.26,0.06,0,2024-12-01
CUST10255,"Oni Mardhiyah, S.E.",56,Freelancer,4.61,0.51,0.21,0,2025-02-06
CUST10256,Tari Manullang,47,Arsitek,34.53,0.72,0.43,1,2025-11-20
CUST10257,"Puti Gilda Wastuti, S.T.",35,Mahasiswa,1.04,0.65,0.58,0,2025-01-05
CUST10258,Purwanto Anggraini,28,Koki,3.13,0.32,0.84,1,2025-08-05
CUST10259,Hasna Hutasoit,31,Marketing,5.63,0.07,0.38,0,2025-02-25
CUST10260,Hana Prasasta,36,Marketing,15.81,0.09,0.77,0,2025-09-22
CUST10261,"Reksa Permata, S.E.",24,Manager,15.2,0.53,0.49,1,2024-11-24
CUST10262,R. Ayu Pranowo,42,Akuntan,14.61,0.56,0.86,1,2024-12-25
CUST10263,"Puti Hastuti, S.Psi",41,Driver Online,1.12,0.27,0.53,0,2024-12-25
CUST10264,"Ir. Bahuraksa Mustofa, S.Psi",19,Wiraswasta,2.46,0.47,0.85,0,2025-07-21
CUST10265,Kardi Suartini,19,Peneliti,6.63,0.92,0.54,1,2025-07-15
CUST10266,Baktiono Suryatmi,44,Konsultan,6.37,0.62,0.47,0,2025-08-13
CUST10267,"Halima Damanik, S.Pd",25,Blogger,5.77,0.55,0.87,1,2025-01-29
CUST10268,Ibun Saragih,44,Engineer,14.28,0.37,0.2,1,2024-11-25
CUST10269,"Dt. Gantar Wibisono, M.M.",62,Koki,3.44,0.95,0.13,0,2025-02-01
CUST10270,"Ir. Maida Hartati, S.T.",59,Akuntan,14.35,0.82,0.64,1,2025-04-15
CUST10271,Putu Siregar,34,Marketing,5.71,0.99,0.1,1,2025-03-09
CUST10272,Lala Mardhiyah,60,Karyawan Swasta,9.85,0.64,0.31,0,2024-12-14
CUST10273,Darmana Marpaung,28,Blogger,16.77,0.21,0.27,0,2025-11-02
CUST10274,Ina Tarihoran,49,Blogger,8.98,0.81,0.24,0,2025-10-25
CUST10275,Lanang Wijayanti,52,Wiraswasta,6.51,0.87,0.08,0,2025-09-26
CUST10276,Syahrini Firmansyah,20,YouTuber,5.88,0.4,0.44,0,2025-09-02
CUST10277,Siti Dabukke,64,Dosen,31.84,0.72,0.28,0,2025-01-30
CUST10278,Parman Suartini,32,Guru,7.29,0.14,0.3,0,2025-04-11
CUST10279,KH. Cakrajiya Wahyudin,24,Content Creator,24.19,0.74,0.85,1,2025-05-10
CUST10280,Dewi Waluyo,21,Hotel Staff,9.91,0.03,0.1,0,2025-05-13
CUST10281,Tirta Rajata,18,Programmer,5.96,0.55,0.47,1,2025-10-12
CUST10282,Ida Suryono,53,Pengusaha,25.31,0.38,0.54,0,2025-01-29
CUST10283,Elma Riyanti,55,Koki,2.95,0.33,0.14,0,2025-06-29
CUST10284,Luluh Prastuti,41,Akuntan,16.82,0.72,0.13,0,2025-10-03
CUST10285,"Drajat Agustina, S.Psi",38,Karyawan Swasta,7.58,0.79,0.28,0,2025-10-17
CUST10286,Puput Natsir,23,Programmer,11.0,0.28,0.92,1,2025-03-17
CUST10287,drg. Wardaya Maryadi,36,Wiraswasta,3.48,0.83,0.22,0,2025-01-03
CUST10288,Lantar Wibisono,18,Mahasiswa,3.15,0.05,0.06,0,2024-11-24
